sensor_type,device_type,timestamps,step
Step_Counter,smartphone,1529657879072000000,454.0
Step_Counter,smartphone,1529657879350000000,455.0
Step_Counter,smartphone,1529657879849000000,456.0
Step_Counter,smartphone,1529657880127000000,457.0
Step_Counter,smartphone,1529657880604000000,458.0
Step_Counter,smartphone,1529657880903000000,459.0
Step_Counter,smartphone,1529657881321000000,460.0
Step_Counter,smartphone,1529657881699000000,461.0
Step_Counter,smartphone,1529657882176000000,462.0
Step_Counter,smartphone,1529657882455000000,463.0
Step_Counter,smartphone,1529657882932000000,464.0
Step_Counter,smartphone,1529657883211000000,465.0
Step_Counter,smartphone,1529657883688000000,466.0
Step_Counter,smartphone,1529657883987000000,467.0
Step_Counter,smartphone,1529657884365000000,468.0
Step_Counter,smartphone,1529657884743000000,469.0
Step_Counter,smartphone,1529657885220000000,470.0
Step_Counter,smartphone,1529657885499000000,471.0
Step_Counter,smartphone,1529657885857000000,472.0
Step_Counter,smartphone,1529657886335000000,473.0
Step_Counter,smartphone,1529657886732000000,474.0
Step_Counter,smartphone,1529657887071000000,475.0
Step_Counter,smartphone,1529657887569000000,476.0
Step_Counter,smartphone,1529657887867000000,477.0
Step_Counter,smartphone,1529657888324000000,478.0
Step_Counter,smartphone,1529657888623000000,479.0
Step_Counter,smartphone,1529657889101000000,480.0
Step_Counter,smartphone,1529657889399000000,481.0
Step_Counter,smartphone,1529657889857000000,482.0
Step_Counter,smartphone,1529657890135000000,483.0
Step_Counter,smartphone,1529657890613000000,484.0
Step_Counter,smartphone,1529657890911000000,485.0
Step_Counter,smartphone,1529657891309000000,486.0
Step_Counter,smartphone,1529657891787000000,487.0
Step_Counter,smartphone,1529657892224000000,488.0
Step_Counter,smartphone,1529657892940000000,489.0
Step_Counter,smartphone,1529657893240000000,490.0
Step_Counter,smartphone,1529657893697000000,491.0
Step_Counter,smartphone,1529657893995000000,492.0
Step_Counter,smartphone,1529657894433000000,493.0
Step_Counter,smartphone,1529657894791000000,494.0
Step_Counter,smartphone,1529657895229000000,495.0
Step_Counter,smartphone,1529657895527000000,496.0
Step_Counter,smartphone,1529657895985000000,497.0
Step_Counter,smartphone,1529657896304000000,498.0
Step_Counter,smartphone,1529657896741000000,499.0
Step_Counter,smartphone,1529657897219000000,500.0
Step_Counter,smartphone,1529657897835000000,501.0
Step_Counter,smartphone,1529657898273000000,502.0
Step_Counter,smartphone,1529657898731000000,503.0
Step_Counter,smartphone,1529657899108000000,504.0
Step_Counter,smartphone,1529657899367000000,505.0
Step_Counter,smartphone,1529657899905000000,506.0
Step_Counter,smartphone,1529657900273000000,507.0
Step_Counter,smartphone,1529657900640000000,508.0
Step_Counter,smartphone,1529657900900000000,509.0
Step_Counter,smartphone,1529657901158000000,510.0
Step_Counter,smartphone,1529657901417000000,511.0
