sensor_type,device_type,timestamps,lux
TCS3400 ALS,smartphone,1528370632300000000,21885.0
TCS3400 ALS,smartphone,1528370632505000000,29074.0
TCS3400 ALS,smartphone,1528370632709000000,32767.0
TCS3400 ALS,smartphone,1528370632709000000,32767.0
TCS3400 ALS,smartphone,1528370632710000000,32767.0
TCS3400 ALS,smartphone,1528370641293000000,11163.0
TCS3400 ALS,smartphone,1528370641497000000,6227.0
TCS3400 ALS,smartphone,1528370641702000000,5694.0
TCS3400 ALS,smartphone,1528370641906000000,5786.0
TCS3400 ALS,smartphone,1528370642110000000,5712.0
TCS3400 ALS,smartphone,1528370642315000000,5357.0
TCS3400 ALS,smartphone,1528370642519000000,5921.0
TCS3400 ALS,smartphone,1528370642723000000,29651.0
TCS3400 ALS,smartphone,1528370642927000000,32767.0
TCS3400 ALS,smartphone,1528370643540000000,32599.0
TCS3400 ALS,smartphone,1528370643745000000,20267.0
TCS3400 ALS,smartphone,1528370643949000000,4524.0
TCS3400 ALS,smartphone,1528370644154000000,1424.0
TCS3400 ALS,smartphone,1528370644358000000,10722.0
TCS3400 ALS,smartphone,1528370644562000000,5539.0
TCS3400 ALS,smartphone,1528370644766000000,9426.0
TCS3400 ALS,smartphone,1528370644971000000,654.0
TCS3400 ALS,smartphone,1528370645176000000,3743.0
TCS3400 ALS,smartphone,1528370646606000000,111.0
TCS3400 ALS,smartphone,1528370646810000000,515.0
TCS3400 ALS,smartphone,1528370647014000000,2.0
TCS3400 ALS,smartphone,1528370647269000000,0.0
TCS3400 ALS,smartphone,1528370647678000000,1.0
