sensor_type,device_type,timestamps,x,y,z
AK09911 Magnetometer,smartphone,1528370178478000000,-13.990784,18.774414,-35.65674
AK09911 Magnetometer,smartphone,1528370178498000000,-14.801025,18.10608,-37.820435
AK09911 Magnetometer,smartphone,1528370178518000000,-13.131714,18.099976,-37.117004
AK09911 Magnetometer,smartphone,1528370178538000000,-14.8498535,19.429016,-37.060547
AK09911 Magnetometer,smartphone,1528370178558000000,-13.131714,18.095398,-37.83264
AK09911 Magnetometer,smartphone,1528370178579000000,-15.635681,18.132019,-34.950256
AK09911 Magnetometer,smartphone,1528370178598000000,-15.684509,19.43512,-37.054443
AK09911 Magnetometer,smartphone,1528370178619000000,-15.588379,16.7984,-37.14142
AK09911 Magnetometer,smartphone,1528370178639000000,-14.825439,18.77594,-36.366272
AK09911 Magnetometer,smartphone,1528370178658000000,-13.990784,18.759155,-37.80365
AK09911 Magnetometer,smartphone,1528370178678000000,-14.776611,17.4469,-37.841797
AK09911 Magnetometer,smartphone,1528370178698000000,-16.519165,19.314575,-37.704468
AK09911 Magnetometer,smartphone,1528370178718000000,-17.378235,19.999695,-34.812927
AK09911 Magnetometer,smartphone,1528370178738000000,-14.801025,17.999268,-35.614014
AK09911 Magnetometer,smartphone,1528370178759000000,-14.620972,21.650696,-36.39984
AK09911 Magnetometer,smartphone,1528370178779000000,-13.737488,20.321655,-37.165833
AK09911 Magnetometer,smartphone,1528370178798000000,-13.786316,21.655273,-34.97467
AK09911 Magnetometer,smartphone,1528370178818000000,-14.572144,20.343018,-35.01129
AK09911 Magnetometer,smartphone,1528370178839000000,-12.878418,19.657898,-37.1933
AK09911 Magnetometer,smartphone,1528370178859000000,-14.596558,20.991516,-36.421204
AK09911 Magnetometer,smartphone,1528370178878000000,-13.81073,22.309875,-35.668945
AK09911 Magnetometer,smartphone,1528370178898000000,-13.81073,22.309875,-35.668945
AK09911 Magnetometer,smartphone,1528370178918000000,-15.382385,19.67926,-36.457825
AK09911 Magnetometer,smartphone,1528370178938000000,-12.974548,22.303772,-35.67505
AK09911 Magnetometer,smartphone,1528370178958000000,-14.596558,20.99762,-35.705566
AK09911 Magnetometer,smartphone,1528370178978000000,-13.737488,20.327759,-36.450195
AK09911 Magnetometer,smartphone,1528370178998000000,-14.6698,22.970581,-36.35559
AK09911 Magnetometer,smartphone,1528370179018000000,-14.620972,21.661377,-34.96704
AK09911 Magnetometer,smartphone,1528370179039000000,-15.005493,18.728638,-34.339905
AK09911 Magnetometer,smartphone,1528370179058000000,-14.981079,18.069458,-34.361267
AK09911 Magnetometer,smartphone,1528370179079000000,-16.897583,16.918945,-38.320923
AK09911 Magnetometer,smartphone,1528370179098000000,-15.2282715,16.921997,-36.18622
AK09911 Magnetometer,smartphone,1528370179118000000,-16.946411,18.252563,-36.12976
AK09911 Magnetometer,smartphone,1528370179138000000,-15.203857,16.242981,-39.071655
AK09911 Magnetometer,smartphone,1528370179158000000,-16.897583,16.923523,-37.605286
AK09911 Magnetometer,smartphone,1528370179178000000,-16.946411,18.252563,-36.12976
AK09911 Magnetometer,smartphone,1528370179198000000,-16.038513,16.264343,-36.917114
AK09911 Magnetometer,smartphone,1528370179218000000,-16.087341,17.591858,-35.44159
AK09911 Magnetometer,smartphone,1528370179238000000,-15.203857,16.278076,-34.059143
AK09911 Magnetometer,smartphone,1528370179258000000,-16.897583,16.934204,-36.172485
