,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:16:57.165,0.127254447177,0.239686753788,9.83217463131,7.70801515151e-08,-0.000289531668384,7.78351707071e-06,3860.0,1,0,0,505.0,-16.21130366,18.60412592,-33.73229988
2018-06-07 11:16:57.665,0.126474400202,0.239698699091,9.83254262374,-0.000507239123788,2.26569929293e-05,-7.2748979697e-05,3860.0,1,0,0,507.0,-15.59161374,18.98822028,-35.23468012
2018-06-07 11:16:58.165,0.126631842545,0.237667662172,9.8384437399,0.00024073258467,-0.000165058272081,-5.03463299492e-06,3860.0,1,0,0,505.0,-15.23492426,18.59356688,-34.91839604
2018-06-07 11:16:58.665,0.124267963263,0.23887064096,9.83475016667,3.17506261111e-05,-0.000369987099293,2.92074731313e-05,3860.0,1,0,0,502.666666667,-15.72949218,18.161621,-34.65069572
2018-06-07 11:16:59.165,0.126854404626,0.237589210101,9.83159376263,-0.000159335480553,-0.000348421795879,-0.000210095893568,3860.0,1,0,0,503.5,-16.26574706,18.75402824,-34.569519
2018-06-07 11:16:59.665,0.121861390414,0.238139219798,9.83242164646,0.000322130005909,-0.000154437437475,1.3178039899e-05,3860.0,1,0,0,501.0,-16.06634526,18.14166272,-35.64654548
2018-06-07 11:17:00.165,0.124865830525,0.240364383384,9.8330387803,2.60478479293e-05,-0.000192661475758,-0.000163993456869,3860.0,1,0,0,500.0,-15.7449952,18.76928712,-34.94354248
2018-06-07 11:17:00.665,0.126716382273,0.238834342879,9.83477419444,-0.000124844622172,-0.000123149214747,-0.00014272362798,3860.0,1,0,0,497.0,-16.0059205,18.01208492,-36.13964848
2018-06-07 11:17:01.165,0.12429786397,0.238374421616,9.83257339394,0.000106580342424,-0.000224797411212,9.9490380202e-05,3860.0,1,0,0,492.0,-14.93701182,18.22503664,-34.54595956
2018-06-07 11:17:01.665,0.123892812576,0.236440254242,9.8334257096,5.82608481818e-05,-0.000305175781313,-0.000357810903434,3860.0,1,0,0,491.0,-15.52746584,17.48339844,-34.079407
2018-06-07 11:17:02.165,0.125202581136,0.238972879447,9.83198131156,0.000166305402626,-4.73947224242e-05,2.44294685859e-05,3860.0,1,0,0,494.0,-17.52087388,18.02911376,-35.32354716
2018-06-07 11:17:02.665,0.122910087452,0.238870533807,9.83626482487,8.50793238384e-05,-0.000149351177475,-6.165168e-05,3860.0,1,0,0,496.0,-15.42486572,17.65020752,-35.08666964
